Source,Target,Type,Id,Label,timeset,Weight
65,3,Unidirected,198,,,7
66,1,Unidirected,199,,,10
66,2,Unidirected,200,,,4
67,1,Unidirected,201,,,7
68,1,Unidirected,202,,,20
68,2,Unidirected,203,,,7
68,3,Unidirected,204,,,4
69,1,Unidirected,205,,,2
70,1,Unidirected,206,,,142
70,2,Unidirected,207,,,58
70,3,Unidirected,208,,,18
70,4,Unidirected,209,,,57
71,1,Unidirected,210,,,385
71,3,Unidirected,211,,,108
71,2,Unidirected,212,,,161
71,4,Unidirected,213,,,104
72,1,Unidirected,214,,,212
72,3,Unidirected,215,,,57
72,2,Unidirected,216,,,86
72,4,Unidirected,217,,,65
73,1,Unidirected,218,,,53
73,2,Unidirected,219,,,22
73,3,Unidirected,220,,,13
73,4,Unidirected,221,,,12
74,3,Unidirected,222,,,67
74,2,Unidirected,223,,,91
74,1,Unidirected,224,,,316
74,4,Unidirected,225,,,98
75,3,Unidirected,226,,,17
75,1,Unidirected,227,,,60
75,2,Unidirected,228,,,22
75,4,Unidirected,229,,,18
76,3,Unidirected,230,,,2
76,2,Unidirected,231,,,2
76,1,Unidirected,232,,,6
76,4,Unidirected,233,,,3
77,1,Unidirected,234,,,119
77,2,Unidirected,235,,,43
77,3,Unidirected,236,,,26
77,4,Unidirected,237,,,48
78,1,Unidirected,238,,,280
78,3,Unidirected,239,,,43
78,2,Unidirected,240,,,98
78,4,Unidirected,241,,,23
79,1,Unidirected,242,,,4
79,2,Unidirected,243,,,5
80,1,Unidirected,244,,,7
80,2,Unidirected,245,,,3
80,4,Unidirected,246,,,4
80,3,Unidirected,247,,,2
81,1,Unidirected,248,,,3
82,2,Unidirected,249,,,3
83,2,Unidirected,250,,,2
84,1,Unidirected,251,,,303
84,3,Unidirected,252,,,48
84,2,Unidirected,253,,,86
84,4,Unidirected,254,,,44
85,1,Unidirected,255,,,24
85,2,Unidirected,256,,,6
85,4,Unidirected,257,,,3
85,3,Unidirected,258,,,2
86,1,Unidirected,259,,,64
86,2,Unidirected,260,,,24
86,3,Unidirected,261,,,16
86,4,Unidirected,262,,,8
87,1,Unidirected,263,,,49
87,2,Unidirected,264,,,27
87,3,Unidirected,265,,,18
87,4,Unidirected,266,,,12
88,1,Unidirected,267,,,3
88,2,Unidirected,268,,,5
89,1,Unidirected,269,,,149
89,2,Unidirected,270,,,57
89,3,Unidirected,271,,,41
